"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","70-74 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","total",32484,31380,30592,30638
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","20-24 years",976,753,613,579
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","25-29 years",1462,972,720,723
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","30-39 years",4409,4016,3636,3506
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","40-49 years",3637,3389,3175,3189
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","50-59 years",6640,6087,5548,5229
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","60-64 years",4988,4875,4846,4689
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","65-69 years",6323,6873,7155,7261
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","70-74 years",4050,4419,4900,5466
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","total",18760,19840,20857,24318
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","20-24 years",1880,1707,1979,2963
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","25-29 years",1754,1809,1854,2545
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","30-39 years",4749,5105,5080,5384
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","40-49 years",3842,4148,4306,4965
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","50-59 years",3545,3750,3848,4188
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","60-64 years",1289,1382,1621,1769
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","65-69 years",999,1122,1225,1448
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","70-74 years",706,816,945,1059
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","total",67046,65895,65557,70543
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","20-24 years",4926,4308,3972,4476
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","25-29 years",4799,4385,4250,4709
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","30-39 years",10054,9389,8919,9654
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","40-49 years",10471,9958,9542,10364
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","50-59 years",15320,14676,13890,14080
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","60-64 years",8509,8774,8934,9481
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","65-69 years",7800,8624,9649,10486
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","70-74 years",5170,5777,6391,7291
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","total",5757,5531,5425,5554
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","20-24 years",118,76,82,81
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","25-29 years",112,88,76,96
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","30-39 years",622,527,448,410
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","40-49 years",578,537,493,546
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","50-59 years",985,869,756,712
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","60-64 years",879,840,761,752
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","65-69 years",1404,1445,1503,1496
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","70-74 years",1064,1152,1303,1455
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","total",58,64,56,57
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","20-24 years",8,9,10,4
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","25-29 years",13,13,12,11
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","30-39 years",10,8,9,14
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","40-49 years",16,21,15,10
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","50-59 years",8,9,9,9
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","60-64 years",3,3,3,3
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","65-69 years",0,3,0,3
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","70-74 years",3,3,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","total",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","20-24 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","25-29 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","30-39 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","70-74 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","total",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","20-24 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","25-29 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","30-39 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","70-74 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","total",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","total",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","20-24 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","25-29 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","30-39 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","70-74 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","total",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","20-24 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","25-29 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","30-39 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","70-74 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","total",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","20-24 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","25-29 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","30-39 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","40-49 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","50-59 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","60-64 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","65-69 years",0,0,0,0
"not gainfully employed population","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","total","total","total","total",1427343,1355700,1301032,1280617
"not gainfully employed population","other/GFS not relevant","total","total","total","20-24 years",156950,146479,142217,149256
"not gainfully employed population","other/GFS not relevant","total","total","total","25-29 years",109405,96712,86149,83620
"not gainfully employed population","other/GFS not relevant","total","total","total","30-39 years",125939,121335,116773,119282
"not gainfully employed population","other/GFS not relevant","total","total","total","40-49 years",95731,88234,83260,83003
"not gainfully employed population","other/GFS not relevant","total","total","total","50-59 years",122058,115162,109444,107667
"not gainfully employed population","other/GFS not relevant","total","total","total","60-64 years",117459,113463,109460,103286
"not gainfully employed population","other/GFS not relevant","total","total","total","65-69 years",303323,296193,289830,281608
"not gainfully employed population","other/GFS not relevant","total","total","total","70-74 years",396477,378118,363894,352897
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","total",1385489,1314470,1260874,1241087
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","20-24 years",154090,143863,139857,147108
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","25-29 years",106524,93744,83216,81016
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","30-39 years",117398,113446,109799,112873
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","40-49 years",83436,76718,72292,72514
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","50-59 years",114287,107125,101335,99136
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","60-64 years",114660,110544,106397,100008
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","65-69 years",300567,293086,286456,278100
"not gainfully employed population","other/GFS not relevant","total","Sweden","total","70-74 years",394532,375943,361519,350335
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","total",16126,16544,16083,16213
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","20-24 years",1150,1145,1024,974
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","25-29 years",1036,1127,1068,999
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","30-39 years",2903,2815,2547,2474
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","40-49 years",3894,3812,3568,3597
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","50-59 years",2846,3015,3051,3228
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","60-64 years",1333,1358,1399,1460
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","65-69 years",1598,1778,1866,1859
"not gainfully employed population","other/GFS not relevant","total","Europe, excl. Sweden","total","70-74 years",1362,1495,1552,1616
"not gainfully employed population","other/GFS not relevant","total","Africa","total","total",5181,4857,4562,4416
"not gainfully employed population","other/GFS not relevant","total","Africa","total","20-24 years",256,229,211,201
"not gainfully employed population","other/GFS not relevant","total","Africa","total","25-29 years",305,308,287,276
"not gainfully employed population","other/GFS not relevant","total","Africa","total","30-39 years",1181,1037,823,721
"not gainfully employed population","other/GFS not relevant","total","Africa","total","40-49 years",2037,1793,1671,1537
"not gainfully employed population","other/GFS not relevant","total","Africa","total","50-59 years",1027,1065,1084,1135
"not gainfully employed population","other/GFS not relevant","total","Africa","total","60-64 years",180,189,217,263
"not gainfully employed population","other/GFS not relevant","total","Africa","total","65-69 years",135,161,168,181
"not gainfully employed population","other/GFS not relevant","total","Africa","total","70-74 years",61,78,100,105
"not gainfully employed population","other/GFS not relevant","total","Asia","total","total",17039,16541,16334,15695
"not gainfully employed population","other/GFS not relevant","total","Asia","total","20-24 years",1152,1041,936,815
"not gainfully employed population","other/GFS not relevant","total","Asia","total","25-29 years",1299,1278,1343,1132
"not gainfully employed population","other/GFS not relevant","total","Asia","total","30-39 years",3924,3561,3180,2790
"not gainfully employed population","other/GFS not relevant","total","Asia","total","40-49 years",5364,5053,4903,4561
"not gainfully employed population","other/GFS not relevant","total","Asia","total","50-59 years",3157,3193,3236,3391
"not gainfully employed population","other/GFS not relevant","total","Asia","total","60-64 years",1032,1101,1167,1212
"not gainfully employed population","other/GFS not relevant","total","Asia","total","65-69 years",786,913,1053,1175
"not gainfully employed population","other/GFS not relevant","total","Asia","total","70-74 years",329,398,521,616
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","total",3484,3255,3162,3191
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","20-24 years",303,200,183,159
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","25-29 years",232,249,235,191
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","30-39 years",529,470,424,418
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","40-49 years",993,844,818,792
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","50-59 years",738,760,732,771
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","60-64 years",258,269,286,336
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","65-69 years",238,257,283,290
"not gainfully employed population","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","70-74 years",192,204,204,230
"not gainfully employed population","other/GFS not relevant","total","unknown","total","total",24,29,21,13
"not gainfully employed population","other/GFS not relevant","total","unknown","total","20-24 years",3,3,0,0
"not gainfully employed population","other/GFS not relevant","total","unknown","total","25-29 years",4,6,3,0
"not gainfully employed population","other/GFS not relevant","total","unknown","total","30-39 years",3,4,4,3
"not gainfully employed population","other/GFS not relevant","total","unknown","total","40-49 years",7,11,8,3
"not gainfully employed population","other/GFS not relevant","total","unknown","total","50-59 years",4,0,7,6
"not gainfully employed population","other/GFS not relevant","total","unknown","total","60-64 years",0,0,0,3
"not gainfully employed population","other/GFS not relevant","total","unknown","total","65-69 years",0,3,3,0
"not gainfully employed population","other/GFS not relevant","total","unknown","total","70-74 years",3,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","total",1385489,1314470,1260874,1241087
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","20-24 years",154090,143863,139857,147108
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","25-29 years",106524,93744,83216,81016
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","30-39 years",117398,113446,109799,112873
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","40-49 years",83436,76718,72292,72514
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","50-59 years",114287,107125,101335,99136
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","60-64 years",114660,110544,106397,100008
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","65-69 years",300567,293086,286456,278100
"not gainfully employed population","other/GFS not relevant","born in Sweden","total","total","70-74 years",394532,375943,361519,350335
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","total",1385489,1314470,1260874,1241087
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","20-24 years",154090,143863,139857,147108
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","25-29 years",106524,93744,83216,81016
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","30-39 years",117398,113446,109799,112873
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","40-49 years",83436,76718,72292,72514
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","50-59 years",114287,107125,101335,99136
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","60-64 years",114660,110544,106397,100008
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","65-69 years",300567,293086,286456,278100
"not gainfully employed population","other/GFS not relevant","born in Sweden","Sweden","total","70-74 years",394532,375943,361519,350335
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","total",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","total",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","25-29 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","40-49 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","50-59 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Africa","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","total",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","25-29 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","40-49 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","50-59 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","Asia","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","total",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","25-29 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","40-49 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","50-59 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","born in Sweden","unknown","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","total",5478,6469,6384,4767
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","20-24 years",580,697,666,482
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","25-29 years",919,1116,1163,837
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","30-39 years",1946,2275,2056,1573
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","40-49 years",1417,1519,1600,1136
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","50-59 years",447,583,611,492
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","60-64 years",88,138,133,121
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","65-69 years",57,100,93,73
"not gainfully employed population","other/GFS not relevant","0-3 years","total","total","70-74 years",19,52,63,53
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","total",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","25-29 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","40-49 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","50-59 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Sweden","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","total",1097,1786,1646,1177
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","20-24 years",124,194,163,94
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","25-29 years",196,311,290,195
